## Sun Mar 12 17:57:32 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g15.t1	40483.S8EEC8	0.0	1608.0	28HU9@1|root,2QQ5B@2759|Eukaryota,38BJ9@33154|Opisthokonta,3NU01@4751|Fungi,3UZKG@5204|Basidiomycota,226A6@155619|Agaricomycetes,3H2E7@355688|Agaricomycetes incertae sedis	4751|Fungi	S	nucleoporin pom152	POM152	GO:0000226,GO:0003674,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005641,GO:0005643,GO:0005737,GO:0005739,GO:0006606,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0006997,GO:0006999,GO:0007010,GO:0007017,GO:0007049,GO:0008104,GO:0008150,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0017038,GO:0017056,GO:0022402,GO:0022607,GO:0030474,GO:0031023,GO:0031224,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0033036,GO:0033365,GO:0034399,GO:0034504,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043495,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0051169,GO:0051170,GO:0051179,GO:0051234,GO:0051300,GO:0051641,GO:0051649,GO:0070013,GO:0070727,GO:0070762,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072594	-	ko:K18725	-	-	-	-	ko00000,ko03019	1.I.1	-	-	-
g16.t1	104355.XP_007860733.1	7.97e-65	197.0	COG2036@1|root,KOG3467@2759|Eukaryota,3A1HI@33154|Opisthokonta,3P3ZX@4751|Fungi,3V1EP@5204|Basidiomycota,229JB@155619|Agaricomycetes,3H52M@355688|Agaricomycetes incertae sedis	4751|Fungi	B	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling	HHF1	GO:0000003,GO:0000122,GO:0000228,GO:0000785,GO:0000786,GO:0000788,GO:0000790,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005657,GO:0005694,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006342,GO:0006355,GO:0006357,GO:0006464,GO:0006479,GO:0006807,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0008213,GO:0009653,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016458,GO:0016569,GO:0016570,GO:0016571,GO:0018022,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022414,GO:0022607,GO:0030154,GO:0030435,GO:0031298,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031497,GO:0031974,GO:0031981,GO:0032259,GO:0032502,GO:0032991,GO:0032993,GO:0034293,GO:0034622,GO:0034728,GO:0034729,GO:0034968,GO:0036211,GO:0040029,GO:0042393,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0043596,GO:0043933,GO:0043934,GO:0043935,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0044703,GO:0044815,GO:0045814,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051321,GO:0051704,GO:0060255,GO:0061587,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0071103,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0097159,GO:1901363,GO:1901564,GO:1902679,GO:1903046,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141	-	ko:K11254	ko05034,ko05203,ko05322,map05034,map05203,map05322	-	-	-	ko00000,ko00001,ko03036	-	-	-	CENP-T_C
g17.t1	984962.XP_009540918.1	2.27e-68	211.0	COG0526@1|root,KOG0907@2759|Eukaryota,3A886@33154|Opisthokonta,3P5A0@4751|Fungi,3V2Q4@5204|Basidiomycota,229AD@155619|Agaricomycetes,3H51I@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Thioredoxin-domain-containing protein	TRX3	GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748	-	ko:K03671	ko04621,ko05418,map04621,map05418	-	-	-	ko00000,ko00001,ko03110	-	-	-	Thioredoxin
g19.t1	104355.XP_007864770.1	9.97e-92	284.0	COG1063@1|root,KOG0024@2759|Eukaryota,39QF6@33154|Opisthokonta,3Q6KC@4751|Fungi	4751|Fungi	Q	Zinc-binding dehydrogenase	-	-	1.1.1.1	ko:K13953	ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220	-	R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310	RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273	ko00000,ko00001,ko01000	-	-	-	ADH_N,ADH_zinc_N
g19.t2	104355.XP_007864770.1	2.96e-101	310.0	COG1063@1|root,KOG0024@2759|Eukaryota,39QF6@33154|Opisthokonta,3Q6KC@4751|Fungi	4751|Fungi	Q	Zinc-binding dehydrogenase	-	-	1.1.1.1	ko:K13953	ko00010,ko00071,ko00350,ko00625,ko00626,ko00830,ko00980,ko00982,ko01100,ko01110,ko01120,ko01130,ko01220,map00010,map00071,map00350,map00625,map00626,map00830,map00980,map00982,map01100,map01110,map01120,map01130,map01220	-	R00623,R00754,R02124,R04880,R05233,R05234,R06917,R06927,R07105,R08281,R08306,R08310	RC00050,RC00087,RC00088,RC00099,RC00116,RC00649,RC01734,RC02273	ko00000,ko00001,ko01000	-	-	-	ADH_N,ADH_zinc_N
g21.t1	40483.S8FTM8	2.92e-218	652.0	2EB5K@1|root,2SHAG@2759|Eukaryota,3AF7T@33154|Opisthokonta,3PBXD@4751|Fungi,3V3B8@5204|Basidiomycota,225U4@155619|Agaricomycetes,3H2PD@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g23.t1	85982.XP_007313054.1	7.95e-92	279.0	COG3346@1|root,KOG1563@2759|Eukaryota,39DSM@33154|Opisthokonta,3NU6X@4751|Fungi,3V0YI@5204|Basidiomycota,225DY@155619|Agaricomycetes	4751|Fungi	C	Probably involved in the biogenesis of the COX complex	SHY1	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006996,GO:0007005,GO:0008150,GO:0008535,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0017004,GO:0019866,GO:0022607,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0033108,GO:0033617,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0051082,GO:0065003,GO:0071840	-	ko:K14998	-	-	-	-	ko00000,ko03029	3.D.4.8	-	-	SURF1
g23.t2	40483.S8EE73	3.03e-82	250.0	COG3346@1|root,KOG1563@2759|Eukaryota,39DSM@33154|Opisthokonta,3NU6X@4751|Fungi,3V0YI@5204|Basidiomycota,225DY@155619|Agaricomycetes,3H49X@355688|Agaricomycetes incertae sedis	4751|Fungi	C	Probably involved in the biogenesis of the COX complex	SHY1	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006996,GO:0007005,GO:0008150,GO:0008535,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0017004,GO:0019866,GO:0022607,GO:0031090,GO:0031224,GO:0031966,GO:0031967,GO:0031975,GO:0033108,GO:0033617,GO:0034622,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0051082,GO:0065003,GO:0071840	-	ko:K14998	-	-	-	-	ko00000,ko03029	3.D.4.8	-	-	SURF1
g24.t1	40483.S8EA64	0.0	1608.0	KOG0980@1|root,KOG0980@2759|Eukaryota,38H1K@33154|Opisthokonta,3Q3C0@4751|Fungi,3UY9S@5204|Basidiomycota,227XU@155619|Agaricomycetes,3H0TV@355688|Agaricomycetes incertae sedis	4751|Fungi	Z	I/LWEQ domain	SLA2	GO:0000003,GO:0000131,GO:0000147,GO:0000278,GO:0000281,GO:0000282,GO:0000910,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005543,GO:0005546,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005933,GO:0005935,GO:0005937,GO:0005938,GO:0006810,GO:0006887,GO:0006897,GO:0006996,GO:0007010,GO:0007015,GO:0007049,GO:0007114,GO:0007121,GO:0007163,GO:0008092,GO:0008104,GO:0008150,GO:0008289,GO:0009987,GO:0015629,GO:0016043,GO:0016192,GO:0019954,GO:0022402,GO:0022607,GO:0030010,GO:0030029,GO:0030036,GO:0030427,GO:0030479,GO:0030674,GO:0030863,GO:0030864,GO:0030865,GO:0030866,GO:0030950,GO:0030952,GO:0031097,GO:0031505,GO:0032153,GO:0032155,GO:0032505,GO:0032940,GO:0033036,GO:0034613,GO:0035091,GO:0035838,GO:0035840,GO:0035841,GO:0042995,GO:0043167,GO:0043168,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043332,GO:0044085,GO:0044396,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044463,GO:0044464,GO:0045229,GO:0046903,GO:0051179,GO:0051234,GO:0051286,GO:0051301,GO:0051641,GO:0060090,GO:0061640,GO:0061645,GO:0070727,GO:0071554,GO:0071555,GO:0071840,GO:0071852,GO:0071944,GO:0097435,GO:0098657,GO:0099568,GO:0099738,GO:0120025,GO:0120038,GO:1901981,GO:1902936,GO:1903047	-	ko:K20040	-	-	-	-	ko00000,ko04131	-	-	-	ANTH,I_LWEQ
g26.t1	208960.XP_007270499.1	2.62e-180	510.0	COG0604@1|root,KOG1198@2759|Eukaryota,39UN2@33154|Opisthokonta,3P20Q@4751|Fungi,3V0CI@5204|Basidiomycota,229T5@155619|Agaricomycetes,3H789@355688|Agaricomycetes incertae sedis	4751|Fungi	C	GroES-like protein	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N
g27.t1	337075.U4LLF1	3.16e-187	558.0	2BZ0M@1|root,2QS59@2759|Eukaryota,38GX3@33154|Opisthokonta,3NZ1Q@4751|Fungi,3QP32@4890|Ascomycota	4751|Fungi	S	Protein of unknown function (DUF3292)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3292
g28.t1	40483.S8FTT4	3.05e-46	153.0	COG2351@1|root,KOG3006@2759|Eukaryota,3A8EU@33154|Opisthokonta,3P6QJ@4751|Fungi,3V2G2@5204|Basidiomycota,22DWC@155619|Agaricomycetes,3H86G@355688|Agaricomycetes incertae sedis	4751|Fungi	I	Transthyretin	-	GO:0003674,GO:0003824,GO:0006139,GO:0006144,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009112,GO:0009987,GO:0016787,GO:0016810,GO:0016812,GO:0033971,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0055086,GO:0071704,GO:0072521,GO:1901360,GO:1901564	3.5.2.17	ko:K07127	ko00230,ko01100,ko01120,map00230,map01100,map01120	M00546	R06601	RC03393	ko00000,ko00001,ko00002,ko01000,ko02000	9.B.35.1.2,9.B.35.2	-	-	Transthyretin
g29.t1	80637.XP_007763519.1	2.5e-90	289.0	2CSR3@1|root,2RCUF@2759|Eukaryota,3AYVQ@33154|Opisthokonta,3PJZC@4751|Fungi,3V9FX@5204|Basidiomycota,2291U@155619|Agaricomycetes	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g29.t2	80637.XP_007763519.1	7.97e-88	283.0	2CSR3@1|root,2RCUF@2759|Eukaryota,3AYVQ@33154|Opisthokonta,3PJZC@4751|Fungi,3V9FX@5204|Basidiomycota,2291U@155619|Agaricomycetes	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g30.t1	104355.XP_007860464.1	3.86e-41	141.0	2CUIV@1|root,2S4E5@2759|Eukaryota,3A62W@33154|Opisthokonta,3P5M6@4751|Fungi,3V5T7@5204|Basidiomycota,22ACW@155619|Agaricomycetes,3H5XB@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Membrane-associated proteins in eicosanoid and glutathione metabolism	-	-	2.5.1.18	ko:K00799	ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418	-	R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905	RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944	ko00000,ko00001,ko01000,ko02000	1.A.12.2.2,1.A.12.3.2	-	-	MAPEG
g31.t1	984962.XP_009540722.1	1.4e-89	274.0	2E5HY@1|root,2SCBB@2759|Eukaryota,3AI6D@33154|Opisthokonta,3PB2V@4751|Fungi,3V4FQ@5204|Basidiomycota,2290U@155619|Agaricomycetes,3H5AQ@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g33.t1	5346.XP_001829136.2	3.24e-112	355.0	COG5118@1|root,KOG2009@2759|Eukaryota,38I0C@33154|Opisthokonta,3P3YS@4751|Fungi,3V1TP@5204|Basidiomycota,224ZJ@155619|Agaricomycetes,3W3V3@5338|Agaricales	4751|Fungi	K	Myb DNA-binding like	-	GO:0000126,GO:0001025,GO:0001112,GO:0001120,GO:0001156,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005667,GO:0006139,GO:0006351,GO:0006352,GO:0006383,GO:0006384,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009893,GO:0009987,GO:0010467,GO:0010528,GO:0010530,GO:0010604,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022607,GO:0031323,GO:0031325,GO:0032774,GO:0032991,GO:0034367,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044798,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051052,GO:0051054,GO:0051171,GO:0051173,GO:0060255,GO:0065003,GO:0065004,GO:0065007,GO:0070894,GO:0070896,GO:0070897,GO:0070898,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0090576,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576	-	ko:K15198	-	-	-	-	ko00000,ko03021	-	-	-	Myb_DNA-bind_7
g34.t1	40492.XP_007298769.1	6.92e-17	91.7	2EAH9@1|root,2SGR2@2759|Eukaryota,39PYC@33154|Opisthokonta,3Q67A@4751|Fungi,3V7K1@5204|Basidiomycota,22FPZ@155619|Agaricomycetes,3H5HS@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g35.t1	40483.S8EED4	2.26e-123	364.0	KOG3911@1|root,KOG3911@2759|Eukaryota,38G4R@33154|Opisthokonta,3P38A@4751|Fungi,3V0VI@5204|Basidiomycota,225W2@155619|Agaricomycetes,3H4GP@355688|Agaricomycetes incertae sedis	4751|Fungi	A	Nucleolar protein,Nop52	-	GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0030684,GO:0030687,GO:0030688,GO:0031974,GO:0031981,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0071840,GO:0090304,GO:1901360,GO:1990904	-	ko:K14849	-	-	-	-	ko00000,ko01009,ko03009	-	-	-	Nop52
g36.t1	40483.S8FIG8	8.82e-130	392.0	KOG1339@1|root,KOG1339@2759|Eukaryota,39SWH@33154|Opisthokonta,3NV4S@4751|Fungi,3UYQX@5204|Basidiomycota,225DM@155619|Agaricomycetes,3H0EQ@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Belongs to the peptidase A1 family	-	-	3.4.23.25,3.4.23.5	ko:K01379,ko:K01381	ko04071,ko04138,ko04140,ko04142,ko04210,ko04915,ko05152,map04071,map04138,map04140,map04142,map04210,map04915,map05152	-	-	-	ko00000,ko00001,ko01000,ko01002,ko04147	-	-	-	Asp
g36.t2	40483.S8FIG8	1.2e-129	392.0	KOG1339@1|root,KOG1339@2759|Eukaryota,39SWH@33154|Opisthokonta,3NV4S@4751|Fungi,3UYQX@5204|Basidiomycota,225DM@155619|Agaricomycetes,3H0EQ@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Belongs to the peptidase A1 family	-	-	3.4.23.25,3.4.23.5	ko:K01379,ko:K01381	ko04071,ko04138,ko04140,ko04142,ko04210,ko04915,ko05152,map04071,map04138,map04140,map04142,map04210,map04915,map05152	-	-	-	ko00000,ko00001,ko01000,ko01002,ko04147	-	-	-	Asp
